,country,code,year,percentage
18,Afghanistan,AFG,2018,86.54708520000001
73,Albania,ALB,2018,100.0
108,Algeria,DZA,2018,1.0128505159999999
128,American Samoa,ASM,2018,0.0
148,Angola,AGO,2018,75.85969056
180,Antigua and Barbuda,ATG,2018,3.866916317
215,Argentina,ARG,2018,29.60720057
236,Armenia,ARM,2018,57.04171777
256,Aruba,ABW,2018,15.17639173
326,Australia,AUS,2018,17.93307139
362,Austria,AUT,2018,76.97136417
398,Azerbaijan,AZE,2018,8.535066824
419,Bahamas,BHS,2018,0.18350474600000002
439,Bahrain,BHR,2018,0.033294352
474,Bangladesh,BGD,2018,1.8588541
495,Barbados,BRB,2018,3.691591375
530,Belarus,BLR,2018,2.187836245
566,Belgium,BEL,2018,62.15801154
587,Belize,BLZ,2018,95.77728927
607,Benin,BEN,2018,2.731379347
627,Bermuda,BMU,2018,0.0
647,Bhutan,BTN,2018,99.99941951
667,Bolivia,BOL,2018,31.431621399999997
688,Bosnia and Herzegovina,BIH,2018,35.54988194
709,Botswana,BWA,2018,0.168363774
744,Brazil,BRA,2018,85.63108032
765,British Virgin Islands,VGB,2018,1.5340987419999998
785,Brunei,BRN,2018,0.049548120999999994
820,Bulgaria,BGR,2018,54.63149317
841,Burkina Faso,BFA,2018,15.41909837
861,Burundi,BDI,2018,63.78335436
916,Cambodia,KHM,2018,60.19165709
936,Cameroon,CMR,2018,60.16611006
971,Canada,CAN,2018,82.33441735
992,Cayman Islands,CYM,2018,2.456071046
1012,Central African Republic,CAF,2018,99.33774834
1067,Chad,TCD,2018,3.9301310039999997
1102,Chile,CHL,2018,47.42275706
1138,China,CHN,2018,30.943941
1174,Colombia,COL,2018,77.76737267
1195,Comoros,COM,2018,0.398406375
1215,Congo,COG,2018,36.53090193
1235,Cook Islands,COK,2018,25.71113614
1255,Costa Rica,CRI,2018,98.68975535
1286,Croatia,HRV,2018,72.19897104
1307,Cuba,CUB,2018,3.85609482
1342,Cyprus,CYP,2018,9.434298567999999
1378,Czechia,CZE,2018,45.3007953
1399,Democratic Republic of Congo,COD,2018,99.93719097
1434,Denmark,DNK,2018,68.36090693
1455,Djibouti,DJI,2018,2.43902439
1475,Dominica,DMA,2018,39.23151236
1495,Dominican Republic,DOM,2018,14.49294047
1607,Ecuador,ECU,2018,73.62904689
1642,Egypt,EGY,2018,9.183419501
1662,El Salvador,SLV,2018,75.43919724
1682,Equatorial Guinea,GNQ,2018,40.8135412
1702,Eritrea,ERI,2018,9.596110377
1737,Estonia,EST,2018,16.09088883
1758,Ethiopia,ETH,2018,99.96289540000001
1848,Falkland Islands,FLK,2018,34.01015228
1888,Fiji,FJI,2018,59.325171
1923,Finland,FIN,2018,78.49607259999999
1959,France,FRA,2018,91.38305208
1980,French Guiana,GUF,2018,54.53102848
2000,French Polynesia,PYF,2018,34.64980335
2020,Gabon,GAB,2018,41.71825805
2040,Gambia,GMB,2018,0.99009901
2060,Georgia,GEO,2018,83.32424657
2095,Germany,DEU,2018,47.20740508
2116,Ghana,GHA,2018,50.70826355
2136,Gibraltar,GIB,2018,0.0
2171,Greece,GRC,2018,30.32777732
2192,Greenland,GRL,2018,80.74221494
2212,Grenada,GRD,2018,1.606933493
2232,Guadeloupe,GLP,2018,12.93843331
2252,Guam,GUM,2018,3.942198262
2272,Guatemala,GTM,2018,63.19439731
2292,Guinea,GIN,2018,35.74181154
2312,Guinea-Bissau,GNB,2018,4.7619047619999995
2332,Guyana,GUY,2018,1.742753873
2352,Haiti,HTI,2018,19.73820672
2372,Honduras,HND,2018,68.4030218
2407,Hong Kong,HKG,2018,0.270624182
2442,Hungary,HUN,2018,61.15173388
2478,Iceland,ISL,2018,99.99032518
2513,India,IND,2018,21.39552757
2549,Indonesia,IDN,2018,18.2384865
2584,Iran,IRN,2018,7.731659368
2620,Iraq,IRQ,2018,2.391269744
2655,Ireland,IRL,2018,32.99617879
2691,Israel,ISR,2018,2.792855049
2726,Italy,ITA,2018,39.80895522
2747,Jamaica,JAM,2018,13.04981961
2782,Japan,JPN,2018,26.87798239
2803,Jordan,JOR,2018,11.28639769
2838,Kazakhstan,KAZ,2018,10.94891803
2859,Kenya,KEN,2018,86.91527818
2879,Kiribati,KIR,2018,16.21141536
2891,Kosovo,OWID_KOS,2018,5.419404577000001
2926,Kuwait,KWT,2018,0.120580855
2946,Kyrgyzstan,KGZ,2018,92.58899761
2966,Laos,LAO,2018,66.23934919
3001,Latvia,LVA,2018,52.0240424
3022,Lebanon,LBN,2018,2.094308956
3042,Lesotho,LSO,2018,100.0
3062,Liberia,LBR,2018,1.069518717
3082,Libya,LBY,2018,0.024905654
3117,Lithuania,LTU,2018,80.14395812
3153,Luxembourg,LUX,2018,71.52851872
3194,Madagascar,MDG,2018,44.28265111
3214,Malawi,MWI,2018,89.44346824
3249,Malaysia,MYS,2018,17.47902417
3269,Maldives,MDV,2018,0.411522634
3289,Mali,MLI,2018,40.99488141
3309,Malta,MLT,2018,10.12124434
3330,Martinique,MTQ,2018,6.232702529
3350,Mauritania,MRT,2018,46.21955078
3370,Mauritius,MUS,2018,21.72367419
3405,Mexico,MEX,2018,21.13890469
3496,Moldova,MDA,2018,6.475111609
3516,Mongolia,MNG,2018,7.410931833999999
3531,Montenegro,MNE,2018,60.45793803
3551,Montserrat,MSR,2018,0.0
3586,Morocco,MAR,2018,19.90306728
3606,Mozambique,MOZ,2018,84.33437065
3626,Namibia,NAM,2018,98.33178399
3646,Nauru,NRU,2018,0.0
3666,Nepal,NPL,2018,100.0
3701,Netherlands,NLD,2018,19.58564135
3722,Netherlands Antilles,ANT,2018,34.11164727
3742,New Caledonia,NCL,2018,12.29076172
3777,New Zealand,NZL,2018,84.0630027
3798,Nicaragua,NIC,2018,60.48565708
3818,Niger,NER,2018,4.202563564
3838,Nigeria,NGA,2018,18.72057984
3859,Niue,NIU,2018,0.0
3914,North Korea,PRK,2018,83.76564817
3944,North Macedonia,MKD,2018,35.05411821
3979,Norway,NOR,2018,98.18973299
4015,Oman,OMN,2018,0.011295931
4260,Pakistan,PAK,2018,37.154784
4280,Palestine,PSE,2018,0.081268256
4300,Panama,PAN,2018,78.49664820000001
4320,Papua New Guinea,PNG,2018,20.2303079
4340,Paraguay,PRY,2018,99.99683086
4375,Peru,PER,2018,62.01173819
4411,Philippines,PHL,2018,23.97538555
4447,Poland,POL,2018,12.75371502
4483,Portugal,PRT,2018,50.34498709
4504,Puerto Rico,PRI,2018,6.76084873
4539,Qatar,QAT,2018,0.272816883
4559,Reunion,REU,2018,31.75392415
4594,Romania,ROU,2018,58.30238316
4630,Russia,RUS,2018,35.86047203
4651,Rwanda,RWA,2018,53.37995338
4671,Saint Helena,SHN,2018,0.0
4691,Saint Kitts and Nevis,KNA,2018,3.8461538460000004
4711,Saint Lucia,LCA,2018,0.8361495870000001
4731,Saint Pierre and Miquelon,SPM,2018,0.0
4751,Saint Vincent and the Grenadines,VCT,2018,17.48251748
4771,Samoa,WSM,2018,32.30232278
4791,Sao Tome and Principe,STP,2018,8.045977011
4826,Saudi Arabia,SAU,2018,0.04495356599999999
4846,Senegal,SEN,2018,11.63980841
4860,Serbia,SRB,2018,30.8471229
4881,Seychelles,SYC,2018,1.154734411
4901,Sierra Leone,SLE,2018,69.22390379
4936,Singapore,SGP,2018,3.33230514
4972,Slovakia,SVK,2018,77.72717007
5003,Slovenia,SVN,2018,68.21313313
5024,Solomon Islands,SLB,2018,5.3487425580000005
5044,Somalia,SOM,2018,4.953917051
5114,South Africa,ZAF,2018,9.632202764
5150,South Korea,KOR,2018,27.57269324
5159,South Sudan,SSD,2018,0.5472455310000001
5194,Spain,ESP,2018,58.7191832
5230,Sri Lanka,LKA,2018,46.25209923
5250,Sudan,SDN,2018,60.99444015
5270,Suriname,SUR,2018,53.27643532
5305,Sweden,SWE,2018,97.76137219
5341,Switzerland,CHE,2018,99.06561068
5362,Syria,SYR,2018,4.534881691
5397,Taiwan,TWN,2018,15.28160788
5418,Tajikistan,TJK,2018,93.49433542
5439,Tanzania,TZA,2018,34.28492953
5474,Thailand,THA,2018,17.33013034
5495,Togo,TGO,2018,1.872578562
5515,Tonga,TON,2018,0.0
5550,Trinidad and Tobago,TTO,2018,0.057658155999999995
5570,Tunisia,TUN,2018,3.297679286
5606,Turkey,TUR,2018,33.29701391
5642,Turkmenistan,TKM,2018,0.014160963
5662,Turks and Caicos Islands,TCA,2018,0.0
5702,Uganda,UGA,2018,93.83620399
5737,Ukraine,UKR,2018,61.95643132
5773,United Arab Emirates,ARE,2018,1.024073706
5808,United Kingdom,GBR,2018,52.76387833
5844,United States,USA,2018,36.57491888
5865,United States Virgin Islands,VIR,2018,1.2001856640000002
5885,Uruguay,URY,2018,97.64598395
5921,Uzbekistan,UZB,2018,9.835866256000001
5941,Vanuatu,VUT,2018,14.40310431
5976,Venezuela,VEN,2018,59.63436573
6011,Vietnam,VNM,2018,36.37596135
6092,World,OWID_WRL,2018,36.48908739
6113,Yemen,YEM,2018,13.39204781
6133,Zambia,ZMB,2018,85.31856947
6153,Zimbabwe,ZWE,2018,56.94720914
