Year,emissions,type
1985,0,renewableEffect
1986,-0.01968037,renewableEffect
1987,-0.005645215,renewableEffect
1988,-0.018064234,renewableEffect
1989,-0.032194635,renewableEffect
1990,-0.157096709,renewableEffect
1991,-0.117655758,renewableEffect
1992,-0.14776714,renewableEffect
1993,-0.033350048,renewableEffect
1994,-0.016777326,renewableEffect
1995,0.049808187,renewableEffect
1996,-0.037186724,renewableEffect
1997,0.105786496,renewableEffect
1998,0.11677037,renewableEffect
1999,0.25186676,renewableEffect
2000,0.201907402,renewableEffect
2001,0.101122001,renewableEffect
2002,0.428753323,renewableEffect
2003,0.253483684,renewableEffect
2004,0.465048885,renewableEffect
2005,0.823627459,renewableEffect
2006,1.124744572,renewableEffect
2007,1.751291132,renewableEffect
2008,2.926352841,renewableEffect
2009,6.648138294,renewableEffect
2010,6.107399758,renewableEffect
2011,13.04165334,renewableEffect
2012,14.43325205,renewableEffect
2013,21.42000752,renewableEffect
2014,35.96285745,renewableEffect
2015,51.70832024,renewableEffect
2016,57.68170126,renewableEffect
2017,73.91135215,renewableEffect
2018,87.1063087,renewableEffect
1985,0,other
1986,-7.63031963,other
1987,-9.564354785,other
1988,-7.061935766,other
1989,-16.75780536,other
1990,-33.79290329,other
1991,-39.93234424,other
1992,-22.91223286,other
1993,-7.496649952,other
1994,-2.053222674,other
1995,7.560191813,other
1996,-12.59281328,other
1997,14.6142135,other
1998,10.92322963,other
1999,19.34813324,other
2000,14.9080926,other
2001,8.538877999,other
2002,26.95124668,other
2003,18.40651632,other
2004,19.87495112,other
2005,27.03637254,other
2006,33.21525543,other
2007,45.78870887,other
2008,64.34364716,other
2009,115.5618617,other
2010,103.2926002,other
2011,143.7383467,other
2012,128.436748,other
2013,135.5399925,other
2014,164.7071426,other
2015,170.2416798,other
2016,192.5982987,other
2017,192.0186479,other
2018,188.4136913,other
1985,559.63,Annual CO2 emissions
1986,568.55,Annual CO2 emissions
1987,571.67,Annual CO2 emissions
1988,570.29,Annual CO2 emissions
1989,581.58,Annual CO2 emissions
1990,600.34,Annual CO2 emissions
1991,608.43,Annual CO2 emissions
1992,592.88,Annual CO2 emissions
1993,578.64,Annual CO2 emissions
1994,574.64,Annual CO2 emissions
1995,566.57,Annual CO2 emissions
1996,588.19,Annual CO2 emissions
1997,562.33,Annual CO2 emissions
1998,567.6,Annual CO2 emissions
1999,561.11,Annual CO2 emissions
2000,567.59,Annual CO2 emissions
2001,576.31,Annual CO2 emissions
2002,560.07,Annual CO2 emissions
2003,571.47,Annual CO2 emissions
2004,572.9,Annual CO2 emissions
2005,569.96,Annual CO2 emissions
2006,567.57,Annual CO2 emissions
2007,559.24,Annual CO2 emissions
2008,544.5,Annual CO2 emissions
2009,493.89,Annual CO2 emissions
2010,511.63,Annual CO2 emissions
2011,469.45,Annual CO2 emissions
2012,487.52,Annual CO2 emissions
2013,477.39,Annual CO2 emissions
2014,438.54,Annual CO2 emissions
2015,422.34,Annual CO2 emissions
2016,399.34,Annual CO2 emissions
2017,387.57,Annual CO2 emissions
2018,381.89,Annual CO2 emissions
