Entity,Code,Year,Annual CO2 emissions (million tonnes),Renewables (% sub energy)
United Kingdom,GBR,1965,622111621,0.554
United Kingdom,GBR,1966,618074666,0.542
United Kingdom,GBR,1967,592057027,0.583
United Kingdom,GBR,1968,606488304,0.429
United Kingdom,GBR,1969,628382547,0.362
United Kingdom,GBR,1970,652577395,0.494
United Kingdom,GBR,1971,660388217,0.375
United Kingdom,GBR,1972,648026312,0.369
United Kingdom,GBR,1973,659577095,0.4
United Kingdom,GBR,1974,617183621,0.447
United Kingdom,GBR,1975,603247048,0.447
United Kingdom,GBR,1976,598525992,0.518
United Kingdom,GBR,1977,604361731,0.443
United Kingdom,GBR,1978,604713507,0.453
United Kingdom,GBR,1979,644512763,0.458
United Kingdom,GBR,1980,579035415,0.462
United Kingdom,GBR,1981,560554477,0.531
United Kingdom,GBR,1982,548240368,0.552
United Kingdom,GBR,1983,545485136,0.55
United Kingdom,GBR,1984,529108173,0.55
United Kingdom,GBR,1985,559627325,0.46
United Kingdom,GBR,1986,568553975,0.54
United Kingdom,GBR,1987,571667598,0.475
United Kingdom,GBR,1988,570293732,0.547
United Kingdom,GBR,1989,581576100,0.534
United Kingdom,GBR,1990,600343890,0.635
United Kingdom,GBR,1991,608430640,0.569
United Kingdom,GBR,1992,592883834,0.691
United Kingdom,GBR,1993,578635270,0.619
United Kingdom,GBR,1994,574640846,0.764
United Kingdom,GBR,1995,566567960,0.73
United Kingdom,GBR,1996,588187603,0.592
United Kingdom,GBR,1997,562333177,0.76
United Kingdom,GBR,1998,567600126,0.907
United Kingdom,GBR,1999,561108555,1.013
United Kingdom,GBR,2000,567585033,1.036
United Kingdom,GBR,2001,576313538,0.98
United Kingdom,GBR,2002,560066032,1.162
United Kingdom,GBR,2003,571471921,1.1
United Kingdom,GBR,2004,572903657,1.436
United Kingdom,GBR,2005,569962114,1.714
United Kingdom,GBR,2006,567571938,1.888
United Kingdom,GBR,2007,559236418,2.171
United Kingdom,GBR,2008,544498125,2.633
United Kingdom,GBR,2009,493894854,3.21
United Kingdom,GBR,2010,511631630,3.294
United Kingdom,GBR,2011,469453672,4.422
United Kingdom,GBR,2012,487516555,4.919
United Kingdom,GBR,2013,477387488,6.275
United Kingdom,GBR,2014,438540999,7.99
United Kingdom,GBR,2015,422340107,9.853
United Kingdom,GBR,2016,399337394,9.907
United Kingdom,GBR,2017,387565181,11.628
United Kingdom,GBR,2018,381889659,13.042
United Kingdom,GBR,2019,369009693,14.454
