,Entity,Code_x,Year_x,Annual CO2 emissions (per capita),Code_y,Year_y,Renewables (% electricity)
0,Afghanistan,AFG,2018.0,0.2245,AFG,2018.0,86.54708520000001
2,Albania,ALB,2018.0,1.6422,ALB,2018.0,100.0
3,Algeria,DZA,2018.0,3.8241,DZA,2018.0,1.0128505159999999
5,Angola,AGO,2018.0,0.7912,AGO,2018.0,75.85969056
7,Antigua and Barbuda,ATG,2018.0,5.1755,ATG,2018.0,3.866916317
8,Argentina,ARG,2018.0,4.0824,ARG,2018.0,24.98073381
9,Armenia,ARM,2018.0,1.9737,ARM,2018.0,31.348835700000002
10,Aruba,ABW,2018.0,8.2387,ABW,2018.0,15.17639173
13,Australia,AUS,2018.0,16.7081,AUS,2018.0,17.93307139
14,Austria,AUT,2018.0,7.4865,AUT,2018.0,76.97136417
15,Azerbaijan,AZE,2018.0,3.7034,AZE,2018.0,8.535066824
16,Bahamas,BHS,2018.0,7.0024,BHS,2018.0,0.18350474600000002
17,Bahrain,BHR,2018.0,20.7778,BHR,2018.0,0.033294352
18,Bangladesh,BGD,2018.0,0.5118,BGD,2018.0,1.8588541
19,Barbados,BRB,2018.0,4.3104,BRB,2018.0,3.691591375
20,Belarus,BLR,2018.0,6.4492,BLR,2018.0,2.187836245
21,Belgium,BEL,2018.0,8.7289,BEL,2018.0,23.29320053
22,Belize,BLZ,2018.0,1.5782,BLZ,2018.0,95.77728927
23,Benin,BEN,2018.0,0.6317,BEN,2018.0,2.731379347
24,Bermuda,BMU,2018.0,11.3254,BMU,2018.0,0.0
25,Bhutan,BTN,2018.0,1.9034,BTN,2018.0,99.99941951
26,Bolivia,BOL,2018.0,2.1013,BOL,2018.0,31.431621399999997
28,Bosnia and Herzegovina,BIH,2018.0,6.6412,BIH,2018.0,35.54988194
29,Botswana,BWA,2018.0,3.3545,BWA,2018.0,0.168363774
30,Brazil,BRA,2018.0,2.3091,BRA,2018.0,82.98169963
31,British Virgin Islands,VGB,2018.0,5.4108,VGB,2018.0,1.5340987419999998
32,Brunei,BRN,2018.0,22.3619,BRN,2018.0,0.049548120999999994
33,Bulgaria,BGR,2018.0,6.1883,BGR,2018.0,19.98271308
34,Burkina Faso,BFA,2018.0,0.2177,BFA,2018.0,15.41909837
35,Burundi,BDI,2018.0,0.0608,BDI,2018.0,63.78335436
36,Cambodia,KHM,2018.0,0.7925,KHM,2018.0,60.19165709
37,Cameroon,CMR,2018.0,0.3146,CMR,2018.0,60.16611006
38,Canada,CAN,2018.0,15.6299,CAN,2018.0,67.42011983
40,Central African Republic,CAF,2018.0,0.0471,CAF,2018.0,99.33774834
41,Chad,TCD,2018.0,0.0675,TCD,2018.0,3.9301310039999997
42,Chile,CHL,2018.0,4.5068,CHL,2018.0,47.42275706
43,China,CHN,2018.0,7.2077,CHN,2018.0,26.73594237
44,Colombia,COL,2018.0,1.7092,COL,2018.0,77.76737267
45,Comoros,COM,2018.0,0.3522,COM,2018.0,0.398406375
46,Congo,COG,2018.0,0.6907,COG,2018.0,36.53090193
47,Cook Islands,COK,2018.0,4.3919999999999995,COK,2018.0,25.71113614
48,Costa Rica,CRI,2018.0,1.6446,CRI,2018.0,98.68975535
50,Croatia,HRV,2018.0,4.2581,HRV,2018.0,72.19897104
51,Cuba,CUB,2018.0,1.994,CUB,2018.0,3.85609482
53,Cyprus,CYP,2018.0,6.1722,CYP,2018.0,9.434298567999999
54,Czechia,CZE,2018.0,9.9508,CZE,2018.0,10.85161414
55,Democratic Republic of Congo,COD,2018.0,0.0331,COD,2018.0,99.93719097
56,Denmark,DNK,2018.0,6.0277,DNK,2018.0,68.36090693
57,Djibouti,DJI,2018.0,0.4054,DJI,2018.0,2.43902439
58,Dominica,DMA,2018.0,2.2508,DMA,2018.0,39.23151236
59,Dominican Republic,DOM,2018.0,2.4182,DOM,2018.0,14.49294047
62,Ecuador,ECU,2018.0,2.2195,ECU,2018.0,73.62904689
63,Egypt,EGY,2018.0,2.3137,EGY,2018.0,9.183419501
64,El Salvador,SLV,2018.0,0.9923,SLV,2018.0,75.43919724
65,Equatorial Guinea,GNQ,2018.0,8.5654,GNQ,2018.0,40.8135412
66,Eritrea,ERI,2018.0,0.233,ERI,2018.0,9.596110377
67,Estonia,EST,2018.0,13.5644,EST,2018.0,16.09088883
69,Ethiopia,ETH,2018.0,0.1479,ETH,2018.0,99.96289540000001
74,Fiji,FJI,2018.0,1.5299,FJI,2018.0,59.325171
75,Finland,FIN,2018.0,8.3021,FIN,2018.0,45.9263285
76,France,FRA,2018.0,4.9603,FRA,2018.0,19.688073100000004
77,French Guiana,GUF,2018.0,2.4697,GUF,2018.0,54.53102848
78,French Polynesia,PYF,2018.0,2.8898,PYF,2018.0,34.64980335
79,Gabon,GAB,2018.0,2.2455,GAB,2018.0,41.71825805
80,Gambia,GMB,2018.0,0.2378,GMB,2018.0,0.99009901
81,Georgia,GEO,2018.0,2.5243,GEO,2018.0,83.32424657
82,Germany,DEU,2018.0,9.0721,DEU,2018.0,35.28396611
83,Ghana,GHA,2018.0,0.5604,GHA,2018.0,50.70826355
84,Greece,GRC,2018.0,6.8244,GRC,2018.0,30.32777732
85,Greenland,GRL,2018.0,9.6883,GRL,2018.0,80.74221494
86,Grenada,GRD,2018.0,2.7616,GRD,2018.0,1.606933493
87,Guadeloupe,GLP,2018.0,6.1466,GLP,2018.0,12.93843331
88,Guatemala,GTM,2018.0,1.0811,GTM,2018.0,63.19439731
89,Guinea,GIN,2018.0,0.2969,GIN,2018.0,35.74181154
90,Guinea-Bissau,GNB,2018.0,0.1662,GNB,2018.0,4.7619047619999995
91,Guyana,GUY,2018.0,3.1848,GUY,2018.0,1.742753873
92,Haiti,HTI,2018.0,0.3028,HTI,2018.0,19.73820672
93,Honduras,HND,2018.0,1.0482,HND,2018.0,68.4030218
94,Hong Kong,HKG,2018.0,5.7976,HKG,2018.0,0.270624182
95,Hungary,HUN,2018.0,5.0897,HUN,2018.0,11.77781265
96,Iceland,ISL,2018.0,10.8799,ISL,2018.0,99.99032518
97,India,IND,2018.0,1.922,IND,2018.0,18.60863464
98,Indonesia,IDN,2018.0,2.2972,IDN,2018.0,18.2384865
99,Iran,IRN,2018.0,8.6449,IRN,2018.0,5.568829342999999
100,Iraq,IRQ,2018.0,5.4985,IRQ,2018.0,2.391269744
101,Ireland,IRL,2018.0,8.134,IRL,2018.0,32.99617879
102,Israel,ISR,2018.0,7.2238,ISR,2018.0,2.792855049
103,Italy,ITA,2018.0,5.7568,ITA,2018.0,39.80895522
104,Jamaica,JAM,2018.0,2.7391,JAM,2018.0,13.04981961
105,Japan,JPN,2018.0,8.9893,JPN,2018.0,21.89809275
106,Jordan,JOR,2018.0,2.5348,JOR,2018.0,11.28639769
107,Kazakhstan,KAZ,2018.0,17.3191,KAZ,2018.0,10.94891803
108,Kenya,KEN,2018.0,0.3506,KEN,2018.0,86.91527818
109,Kiribati,KIR,2018.0,0.5693,KIR,2018.0,16.21141536
110,Kuwait,KWT,2018.0,23.1008,KWT,2018.0,0.120580855
111,Kyrgyzstan,KGZ,2018.0,1.8556,KGZ,2018.0,92.58899761
112,Laos,LAO,2018.0,2.7649,LAO,2018.0,66.23934919
113,Latvia,LVA,2018.0,4.0755,LVA,2018.0,52.0240424
114,Lebanon,LBN,2018.0,3.8708,LBN,2018.0,2.094308956
115,Lesotho,LSO,2018.0,1.2252,LSO,2018.0,100.0
116,Liberia,LBR,2018.0,0.2252,LBR,2018.0,1.069518717
117,Libya,LBY,2018.0,7.99,LBY,2018.0,0.024905654
119,Lithuania,LTU,2018.0,4.8893,LTU,2018.0,80.14395812
120,Luxembourg,LUX,2018.0,15.8354,LUX,2018.0,71.52851872
122,Madagascar,MDG,2018.0,0.1587,MDG,2018.0,44.28265111
123,Malawi,MWI,2018.0,0.0865,MWI,2018.0,89.44346824
124,Malaysia,MYS,2018.0,8.6345,MYS,2018.0,17.47902417
125,Maldives,MDV,2018.0,3.3748,MDV,2018.0,0.411522634
126,Mali,MLI,2018.0,0.1918,MLI,2018.0,40.99488141
127,Malta,MLT,2018.0,3.5021,MLT,2018.0,10.12124434
129,Martinique,MTQ,2018.0,5.997000000000001,MTQ,2018.0,6.232702529
130,Mauritania,MRT,2018.0,0.8329,MRT,2018.0,46.21955078
131,Mauritius,MUS,2018.0,3.5623,MUS,2018.0,21.72367419
133,Mexico,MEX,2018.0,3.6081,MEX,2018.0,16.98705232
134,Moldova,MDA,2018.0,1.3408,MDA,2018.0,6.475111609
135,Mongolia,MNG,2018.0,14.9949,MNG,2018.0,7.410931833999999
136,Montenegro,MNE,2018.0,3.8227,MNE,2018.0,60.45793803
137,Montserrat,MSR,2018.0,5.8706,MSR,2018.0,0.0
138,Morocco,MAR,2018.0,1.729,MAR,2018.0,19.90306728
139,Mozambique,MOZ,2018.0,0.2336,MOZ,2018.0,84.33437065
141,Namibia,NAM,2018.0,1.6652,NAM,2018.0,98.33178399
142,Nauru,NRU,2018.0,5.147,NRU,2018.0,0.0
143,Nepal,NPL,2018.0,0.4873,NPL,2018.0,100.0
144,Netherlands,NLD,2018.0,9.3215,NLD,2018.0,16.51234534
145,New Caledonia,NCL,2018.0,20.6629,NCL,2018.0,12.29076172
146,New Zealand,NZL,2018.0,7.5455,NZL,2018.0,84.0630027
147,Nicaragua,NIC,2018.0,0.8168,NIC,2018.0,60.48565708
148,Niger,NER,2018.0,0.083,NER,2018.0,4.202563564
149,Nigeria,NGA,2018.0,0.6531,NGA,2018.0,18.72057984
150,Niue,NIU,2018.0,6.8273,NIU,2018.0,0.0
153,North Korea,PRK,2018.0,0.6917,PRK,2018.0,83.76564817
154,North Macedonia,MKD,2018.0,3.3721,MKD,2018.0,35.05411821
155,Norway,NOR,2018.0,8.3307,NOR,2018.0,98.18973299
157,Oman,OMN,2018.0,12.5515,OMN,2018.0,0.011295931
158,Pakistan,PAK,2018.0,1.1229,PAK,2018.0,30.70275694
160,Palestine,PSE,2018.0,0.608,PSE,2018.0,0.081268256
161,Panama,PAN,2018.0,2.5691,PAN,2018.0,78.49664820000001
162,Papua New Guinea,PNG,2018.0,0.7446,PNG,2018.0,20.2303079
163,Paraguay,PRY,2018.0,1.2233,PRY,2018.0,99.99683086
164,Peru,PER,2018.0,1.7084,PER,2018.0,62.01173819
165,Philippines,PHL,2018.0,1.3189,PHL,2018.0,23.97538555
166,Poland,POL,2018.0,8.8866,POL,2018.0,12.75371502
167,Portugal,PRT,2018.0,5.0206,PRT,2018.0,50.34498709
168,Qatar,QAT,2018.0,38.4397,QAT,2018.0,0.272816883
169,Reunion,REU,2018.0,4.9872,REU,2018.0,31.75392415
170,Romania,ROU,2018.0,3.9787,ROU,2018.0,40.64744665
171,Russia,RUS,2018.0,11.6078,RUS,2018.0,18.47804011
172,Rwanda,RWA,2018.0,0.0928,RWA,2018.0,53.37995338
173,Saint Helena,SHN,2018.0,1.8202,SHN,2018.0,0.0
174,Saint Kitts and Nevis,KNA,2018.0,4.6815,KNA,2018.0,3.8461538460000004
175,Saint Lucia,LCA,2018.0,2.8,LCA,2018.0,0.8361495870000001
176,Saint Pierre and Miquelon,SPM,2018.0,10.0298,SPM,2018.0,0.0
177,Saint Vincent and the Grenadines,VCT,2018.0,2.1942,VCT,2018.0,17.48251748
178,Samoa,WSM,2018.0,1.2143,WSM,2018.0,32.30232278
179,Sao Tome and Principe,STP,2018.0,0.625,STP,2018.0,8.045977011
180,Saudi Arabia,SAU,2018.0,18.4541,SAU,2018.0,0.04495356599999999
181,Senegal,SEN,2018.0,0.7147,SEN,2018.0,11.63980841
182,Serbia,SRB,2018.0,5.0281,SRB,2018.0,30.8471229
183,Seychelles,SYC,2018.0,5.736000000000001,SYC,2018.0,1.154734411
184,Sierra Leone,SLE,2018.0,0.1245,SLE,2018.0,69.22390379
185,Singapore,SGP,2018.0,7.9898,SGP,2018.0,3.33230514
187,Slovakia,SVK,2018.0,6.6073,SVK,2018.0,21.85500263
188,Slovenia,SVN,2018.0,6.9753,SVN,2018.0,32.41417486
189,Solomon Islands,SLB,2018.0,0.4434,SLB,2018.0,5.3487425580000005
190,Somalia,SOM,2018.0,0.0425,SOM,2018.0,4.953917051
191,South Africa,ZAF,2018.0,8.0321,ZAF,2018.0,5.170839713
193,South Korea,KOR,2018.0,13.125,KOR,2018.0,4.6347092430000005
194,South Sudan,SSD,2018.0,0.1218,SSD,2018.0,0.5472455310000001
195,Spain,ESP,2018.0,5.7763,ESP,2018.0,38.20860719
196,Sri Lanka,LKA,2018.0,0.9891,LKA,2018.0,46.25209923
197,Sudan,SDN,2018.0,0.5067,SDN,2018.0,60.99444015
198,Suriname,SUR,2018.0,4.3653,SUR,2018.0,53.27643532
199,Sweden,SWE,2018.0,4.2215,SWE,2018.0,55.79919074
200,Switzerland,CHE,2018.0,4.3243,CHE,2018.0,61.31400135
201,Syria,SYR,2018.0,1.7919999999999998,SYR,2018.0,4.534881691
202,Taiwan,TWN,2018.0,11.921,TWN,2018.0,4.919604992
203,Tajikistan,TJK,2018.0,1.0007,TJK,2018.0,93.49433542
204,Tanzania,TZA,2018.0,0.2094,TZA,2018.0,34.28492953
205,Thailand,THA,2018.0,3.9779,THA,2018.0,17.33013034
207,Togo,TGO,2018.0,0.2903,TGO,2018.0,1.872578562
208,Tonga,TON,2018.0,1.3492,TON,2018.0,0.0
209,Trinidad and Tobago,TTO,2018.0,29.1223,TTO,2018.0,0.057658155999999995
210,Tunisia,TUN,2018.0,2.5389,TUN,2018.0,3.297679286
211,Turkey,TUR,2018.0,5.093999999999999,TUR,2018.0,33.29701391
212,Turkmenistan,TKM,2018.0,12.0404,TKM,2018.0,0.014160963
213,Turks and Caicos Islands,TCA,2018.0,6.2255,TCA,2018.0,0.0
215,Uganda,UGA,2018.0,0.1287,UGA,2018.0,93.83620399
216,Ukraine,UKR,2018.0,5.2441,UKR,2018.0,8.598632734
217,United Arab Emirates,ARE,2018.0,16.0112,ARE,2018.0,1.024073706
218,United Kingdom,GBR,2018.0,5.6878,GBR,2018.0,32.94209480000001
219,United States,USA,2018.0,16.434,USA,2018.0,17.37661761
220,Uruguay,URY,2018.0,1.905,URY,2018.0,97.64598395
221,Uzbekistan,UZB,2018.0,3.5328,UZB,2018.0,9.835866256000001
222,Vanuatu,VUT,2018.0,0.6009,VUT,2018.0,14.40310431
223,Venezuela,VEN,2018.0,4.1602,VEN,2018.0,59.63436573
224,Vietnam,VNM,2018.0,2.3415,VNM,2018.0,36.37596135
225,World,OWID_WRL,2018.0,4.8022,OWID_WRL,2018.0,26.26046773
226,Yemen,YEM,2018.0,0.3503,YEM,2018.0,13.39204781
227,Zambia,ZMB,2018.0,0.4215,ZMB,2018.0,85.31856947
228,Zimbabwe,ZWE,2018.0,0.821,ZWE,2018.0,56.94720914
