Entity,Code,Year,Coal (% electricity),Gas (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity),Oil (% electricity),Nuclear (% electricity),Other renewables (% electricity)
United Kingdom,GBR,1985,59.43292104,0.971521928,1.326516577,0.000338859,0,16.20556277,20.4955567,0
United Kingdom,GBR,1986,66.88156614,0.578933208,1.583779241,0.000335503,0,10.37462924,19.62294608,0
United Kingdom,GBR,1987,69.48548883,1.500105921,1.385843661,0,0,8.694788688,18.28394768,0
United Kingdom,GBR,1988,65.8541245,1.547154537,1.581672468,0.000327079,0,9.193880029,20.5475593,0
United Kingdom,GBR,1989,63.55611361,1.573183718,1.515742963,0,0.002860912,9.358996774,22.80274012,0
United Kingdom,GBR,1990,64.56453545,1.563149944,1.600430351,0,0.002814796,10.84509553,20.56333447,0.186339483
United Kingdom,GBR,1991,65.49221835,1.803794038,1.404785134,0,0.002787456,8.708013937,21.84839334,0.213054588
United Kingdom,GBR,1992,60.31528487,3.919412664,1.666381139,0,0.010278997,9.285049043,23.92420953,0.290989058
United Kingdom,GBR,1993,53.00060043,10.53506323,1.331808531,0,0.067161454,6.543753985,27.65473442,0.370780744
United Kingdom,GBR,1994,49.40653728,16.30889459,1.567011067,0,0.105341165,4.543450168,27.03409502,0.465001623
United Kingdom,GBR,1995,45.99732088,18.88988335,1.378680829,0,0.116174309,5.126191379,26.36564086,0.486509555
United Kingdom,GBR,1996,41.97288431,23.96520619,0.967876717,0,0.13908404,4.897867283,26.98201883,0.514325941
United Kingdom,GBR,1997,34.78314184,31.64341099,1.2536509,0,0.190208945,3.042487602,27.98837644,0.60165342
United Kingdom,GBR,1998,33.90419417,32.47807097,1.410973325,0,0.241796962,2.256001633,27.42919076,0.73178734
United Kingdom,GBR,1999,28.84133896,38.81583062,1.44929588,0.000271628,0.230883523,1.778832519,25.8407402,0.931438459
United Kingdom,GBR,2000,32.04006678,39.55312187,1.358530885,0.000267112,0.252954925,3.022370618,22.72133556,1.051352254
United Kingdom,GBR,2001,34.38076531,37.11216635,1.060682478,0.000475981,0.252397253,2.447693631,23.56212618,1.183692814
United Kingdom,GBR,2002,32.31441297,39.5940549,1.244841652,0.000701521,0.326585169,2.35693703,22.84180393,1.320662827
United Kingdom,GBR,2003,34.97263173,37.64694252,0.816137396,0.00074469,0.325021309,2.269463474,22.42567382,1.543385061
United Kingdom,GBR,2004,33.68134028,40.14143709,1.23787615,0.001023566,0.494551246,2.118476514,20.44551508,1.879780065
United Kingdom,GBR,2005,34.04870393,38.6015298,1.244558184,0.002067397,0.734372861,2.426013083,20.64059001,2.302164738
United Kingdom,GBR,2006,37.83382081,35.79483586,1.167359301,0.002718392,1.073899215,2.591476168,19.17769308,2.358197175
United Kingdom,GBR,2007,34.5939543,42.18938148,1.292022675,0.003562583,1.342029636,2.16723356,16.03874914,2.373066634
United Kingdom,GBR,2008,32.32118562,45.791248,1.335943465,0.004417521,1.850558211,2.571843321,13.63870776,2.486096111
United Kingdom,GBR,2009,27.61868657,44.62944083,1.401323538,0.005360926,2.487730201,2.463624529,18.52146321,2.872370207
United Kingdom,GBR,2010,28.39495344,46.35655476,0.947781922,0.010629436,2.714466131,1.939740517,16.39926396,3.236609829
United Kingdom,GBR,2011,29.70378453,40.12813052,1.558929347,0.066731756,4.372480243,1.628198642,18.89458933,3.647155635
United Kingdom,GBR,2012,39.5644514,27.75465952,1.471150731,0.375091048,5.499152575,1.744161599,19.50750527,4.083827861
United Kingdom,GBR,2013,36.65233725,26.96876144,1.322891429,0.565627022,7.990488654,1.537517389,19.86773514,5.094641674
United Kingdom,GBR,2014,29.90270367,30.09780107,1.756395063,1.209392072,9.533914401,1.734323104,19.01692509,6.748545525
United Kingdom,GBR,2015,22.62678029,29.78270782,1.877836711,2.246289393,12.00986425,1.989623309,20.9767503,8.490147918
United Kingdom,GBR,2016,9.159714787,42.81580488,1.61098579,3.108507784,11.09697544,2.228505703,21.42225162,8.55725399
United Kingdom,GBR,2017,6.76119933,41.03628431,1.771009418,3.443688391,14.89446739,1.974747668,21.10737699,9.011226508
United Kingdom,GBR,2018,5.127708422,40.05852704,1.672469913,3.917008171,17.33586337,2.049886211,19.82178352,10.01675335
United Kingdom,GBR,2019,2.172389805,41.08613579,1.833483941,4.059255893,20.19539171,2.124547271,17.89471868,10.63407692
United Kingdom,GBR,2020,1.741105475,36.55035212,2.159324114,4.371458848,24.1509837,2.450122418,16.9628304,11.61382293
