Country,2020,2019
Austria,79.26764044,56
Belgium,65.44633967,84
Czechia,49.31807063,33
Finland,84.36668116,83
France,90.53050126,52
Germany,56.23127093,59
Greece,35.90825259,76
Hungary,62.17093743,65
Ireland,40.73968244,57
Italy,43.16692884,61
Netherlands,28.48870196,81
Norway,98.78692822,45
Poland,16.91160163,89
Portugal,58.82566474,49
Romania,64.30858141,42
Russia,40.8393372,71
Serbia,30.00816254,92
Slovakia,79.93773915,87
Slovenia,70.59758461,38
Spain,65.57059614,84
Sweden,97.8024911,30
Switzerland,99.03676276,53
Ukraine,62.32181244,81
United Kingdom,59.25841999,87
